date,subject,action,object,topic,description,location,ref_title,ref_url
2016-10-15,真的假的,發起,,假訊息,,g0v的hackath21n,,https://g0v.hackpad.tw/-LINE-bot-Zb4bFLB7pnv
2016-11-05,g0v@NYC hackathon,,,美東松,,,,https://hackmd.io/@ttcat/Hy_2DQTzg?type=view#g0vNYC-201611-%E7%B4%80%E9%8C%84-by-ttcat
2016-11-06,g0v@NYC hackathon,,,美東松,,,,https://hackmd.io/@ttcat/Hy_2DQTzg?type=view#g0vNYC-201611-%E7%B4%80%E9%8C%84-by-ttcat
2016-11-12,第十八次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed18ct-F1PorqHPw1v
2016-12-17,第貳拾貳次公民科學黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath22n
2017-01-09,真的假的,曝光,,假訊息,社群貼文、名人轉發後在媒體上初次曝光，LINE bot 好友數破萬,,,"https://www.facebook.com/groups/1847232902175197/permalink/1894866897411797
https://www.facebook.com/groups/cofacts/posts/1896817880550032/"
2017-01-21,第陸次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-hackath21n
2017-01-31,揪松團,舉辦,2017 春季公民科技創新獎助金,公民科技創新獎助金,,,,https://grants.g0v.tw/dashboards/2017spring?sort=showcase
2017-02-16,第柒次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-hackath21n
2017-03-04,第貳拾參次開放資料黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath23n
2017-03-25,第十九次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed19ct-thf3yfLZhVq
2017-03-29,真的假的,上線,,假訊息,網站上線、chatbot 改版、資料庫換成 Elasticsearch,,,https://www.facebook.com/notes/cofacts-%E7%9C%9F%E7%9A%84%E5%81%87%E7%9A%84%E7%B7%A8%E8%BC%AF%E4%BA%A4%E6%B5%81%E5%A4%A9%E5%9C%B0/2017329%E9%81%8E%E5%8E%BB%E4%B8%80%E5%80%8B%E6%9C%88%E7%9A%84%E6%9B%B4%E6%96%B0/1933902890174864/
2017-04-04,真的假的,取名,Cofacts,假訊息,確立英文專案名 Cofacts,,,https://github.com/cofacts/rumors-api/issues/28
2017-04-20,第捌次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-hackath23n
2017-05-06,第貳拾肆次凍省黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath24n
2017-05-28,第二十次萌典松 ,,,萌典,,,,https://g0v.hackpad.tw/-moed20ct-LW9I2dPOWdY
2017-06-10,搶救 g0v Hackpad 松,,,小松,,,,https://hackmd.io/LiP2YS_zSPqMGK6ciSe-Lw?both
2017-06-19,Cofacts 真的假的,舉辦,第一次編輯小聚,假訊息,第一次編輯小聚。2017 年每月進行，2018 年改為雙月進行,,,https://cofacts.kktix.cc/
2017-07-01,第貳拾伍次一綱多本黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath25n
2017-07-02,g0v黑客松X海台青年會,,,美東松,,"Pennsylvania, USA",,https://otd4tw.github.io/?fbclid=IwAR3a4oAH_4IfIWaxZ26JPTOX3ybZfpKTCjtacYUIjG7uibZFQX8BEWhIrTc
2017-07-03,g0v黑客松X海台青年會,,,美東松,,"Pennsylvania, USA",,https://otd4tw.github.io/?fbclid=IwAR3a4oAH_4IfIWaxZ26JPTOX3ybZfpKTCjtacYUIjG7uibZFQX8BEWhIrTc
2017-07-04,g0v黑客松X海台青年會,,,美東松,,"Pennsylvania, USA",,https://otd4tw.github.io/?fbclid=IwAR3a4oAH_4IfIWaxZ26JPTOX3ybZfpKTCjtacYUIjG7uibZFQX8BEWhIrTc
2017-07-16,揪松團,舉辦,2017 秋季公民科技創新獎助金 ,公民科技創新獎助金,,,,https://grants.g0v.tw/dashboards/2017autumn?sort=showcase
2017-07-29,g0v@Bangkok hackath0n,,,國際交流,,,,https://beta.hackfoldr.org/bangkok-hackath0n
2017-09-16,第貳拾陸次五週年黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath26n
2017-10-21,第玖次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2017-11-25,第貳拾柒次全球開放立法松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath27n
2017-12-23,第二十一次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed21ct-BImxnSxaaIc
2018-01-01,揪松團,舉辦,2018 公民科技創新獎助金,公民科技創新獎助金,,,,https://grants.g0v.tw/dashboards/2018a?sort=showcase
2018-01-13,第貳拾捌次高牆功德黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath28n
2018-03-03,第貳拾玖次開放資料黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath29n
2018-04-14,第二十二次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed22ct-Y__Y-cYnLXfOuzNY
2018-04-14,第拾次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2018-05-05,第參拾次佛系黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath30n
2018-06-19,第拾壹次基礎建設 ft 傍晚熱炒晚上松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2018-07-07,第參拾壹次香蕉吃到飽松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath31n
2018-08-15,第二十三次萌典松,,,萌典,,,,https://moe.kktix.cc/events/moed24ct
